instrument,or_minutes,target,n_cands,n_trades,guard,or_entry_min,or_entry_legal_min,n_long,n_short,gross_pf,net_pf,sharpe,skew,ekurt,max_dd,gross_R_mean,cost_R_mean,net_R_mean,net_R_total,gross_R_total,win_rate,risk_med,risk_med_bps,n_targets,n_stops,n_time,n_obs,is_trades,oos_trades,is_pf,oos_pf,is_sharpe,oos_sharpe,top_year_R,top_year_share,n_years,n_pos_years,dsr,dsr_cumulative_pool,oos_holds,gross_edge,not_concentrated,beats_bh,SURVIVOR
NAS100,15,1R,974,974,PASS,585,585,493,481,0.8913410839471282,0.6067436665720993,-3.710828085494015,0.058135251449972634,-1.8031573146707027,0.8951645753217846,-0.05253256388889217,0.1748487305864289,-0.22738129447532107,-221.46938081896272,-51.16671722778098,0.4589322381930185,14.405999999999949,31.58342458376602,400,449,125,1015,514,460,0.5731178405108313,0.6479717458603411,-4.234543872006627,-3.284042143556633,-10.878793354229419,,5,0,1.40234745370659e-07,1.2284599645718124e-99,False,False,False,False,False
NAS100,15,2R,974,974,PASS,585,585,493,481,1.021713534162115,0.7502166436942701,-2.0533883687558285,0.6572206523953626,-1.1761781366191777,0.8167647101903918,0.011821376249576661,0.1748487305864289,-0.16302735433685223,-158.78864312409408,11.514020467087668,0.3737166324435318,14.405999999999949,31.58342458376602,204,503,267,1015,514,460,0.7083787546197026,0.8037439295967068,-2.5487533912573186,-1.5693699735418725,-9.674810118482242,,5,0,0.03798515712599234,5.251665156869632e-67,False,True,False,False,False
NAS100,15,close,974,974,PASS,585,585,493,481,1.0643564534016232,0.7978369430226199,-1.3726092161092789,2.3639614382988805,10.523626524038269,0.805688977467075,0.03661177801260389,0.1748487305864289,-0.13823695257382498,-134.64279180690554,35.659871784276184,0.34188911704312114,14.405999999999949,31.58342458376602,0,525,449,1015,514,460,0.7417987644452122,0.8692080173947772,-1.983400062298573,-0.8080193263842987,-1.8058730077281642,,5,0,0.33076667991327724,3.0620801122096787e-51,False,True,False,False,False
NAS100,30,1R,970,970,PASS,600,600,526,444,0.9180384317101324,0.6663134486170269,-2.902070666821275,0.015311421335890626,-1.6459724980839805,0.8033392840390008,-0.03457710411980822,0.1293785504436282,-0.1639556545634364,-159.0369849265333,-33.53979099621397,0.45670103092783504,18.54925000000003,41.329087148154144,324,358,288,1018,512,458,0.6007893180064839,0.7504963983531626,-3.7448239971009056,-2.096711735824156,-4.316785143371935,,5,0,0.00019284982161100843,1.718043354812205e-86,False,False,False,False,False
NAS100,30,2R,970,970,PASS,600,600,526,444,0.9652099436254045,0.7304397271757316,-2.133121183935952,0.6490562204440194,-0.8118123754952644,0.7904257315706665,-0.016092686325410083,0.1293785504436282,-0.14547123676903825,-141.1070996659671,-15.609905735647779,0.40309278350515465,18.54925000000003,41.329087148154144,111,393,466,1018,512,458,0.7060575148370307,0.7607639017828156,-2.4504918487414837,-1.876729619405074,-2.214119102523271,,5,0,0.02698098501710049,4.137365460631491e-68,False,False,False,False,False
NAS100,30,close,970,970,PASS,600,600,526,444,0.98453659870589,0.7525191781282947,-1.7007753358236364,2.708562689078686,19.872462838472522,0.7740680600021674,-0.007311775312563512,0.1293785504436282,-0.1366903257561917,-132.58961598350595,-7.092422053186606,0.3907216494845361,18.54925000000003,41.329087148154144,0,401,569,1018,512,458,0.6695957467258715,0.8580195469752984,-2.695382418337251,-0.8587045156098501,-4.762177078050929,,5,0,0.16237871303500884,1.9409877159414665e-50,False,False,False,False,False
US30,15,1R,1025,1025,PASS,585,585,501,524,0.9236587186091048,0.6487936295739,-3.213647989824129,0.020913192554847918,-1.8144492847945988,0.87919611128698,-0.036717657299911596,0.16247181099272534,-0.19918946829263695,-204.16920499995288,-37.635598732409385,0.47024390243902436,42.00049999999828,23.026209502543697,436,469,120,1081,528,497,0.6749020624249226,0.622714997435941,-2.9963088221134657,-3.6226392625687693,-12.386480672738662,,5,0,8.519233399450797e-06,1.928722310243183e-97,False,False,False,False,False
US30,15,2R,1025,1025,PASS,585,585,501,524,0.9624248003643406,0.7207904871160542,-2.326753328538342,0.6966836080979676,-1.0867468691078712,0.864673930295054,-0.020833526233601983,0.16247181099272534,-0.18330533722632736,-187.88797065698554,-21.354364389442033,0.37853658536585366,42.00049999999828,23.026209502543697,206,535,284,1081,528,497,0.7444487857155976,0.6967839888035159,-2.147097573606621,-2.6459595821952426,-8.136468561650695,,5,0,0.009285079074227398,2.879060479555791e-74,False,False,False,False,False
US30,15,close,1025,1025,PASS,585,585,501,524,0.9870626416965302,0.7530720014849606,-1.719861267683222,2.245791568300195,7.89563250956844,0.854661310721419,-0.007496900110083342,0.16247181099272534,-0.1699687111028087,-174.2179288803789,-7.684322612835425,0.3463414634146341,42.00049999999828,23.026209502543697,0,559,466,1081,528,497,0.7927674333654982,0.713588854144403,-1.4878684873511108,-2.043794253302371,-4.717459524319298,,5,0,0.13975136131775412,6.342455034776823e-57,False,False,False,False,False
US30,30,1R,1016,1016,PASS,600,600,531,485,0.8924527186453481,0.666865643133412,-2.880544990709511,0.023732322827215716,-1.632922078181596,0.8243484271476663,-0.04631264108494477,0.11874144803310446,-0.16505408911804922,-167.69495454393802,-47.053643342303886,0.4547244094488189,52.110749999999825,28.491727127522875,342,383,291,1081,521,495,0.6607137727034808,0.6733317070011157,-3.0364823603534408,-2.906421430579075,-12.002432589134338,,5,0,0.00015274759344387117,3.5496581738613845e-91,False,False,False,False,False
US30,30,2R,1016,1016,PASS,600,600,531,485,0.9473162212087497,0.7330201718967263,-2.0750261563516266,0.6814229540524259,-0.711426122330383,0.785960385086852,-0.02444043601048675,0.11874144803310446,-0.14318188404359122,-145.47279418828867,-24.83148298665454,0.4005905511811024,52.110749999999825,28.491727127522875,124,410,482,1081,521,495,0.741546121864877,0.7241417829382459,-2.065204862890125,-2.2193594151613123,-5.835919185508861,,5,0,0.03080733890078084,3.6107712771369556e-71,False,False,False,False,False
US30,30,close,1016,1016,PASS,600,600,531,485,0.9603032693179554,0.7505050363726532,-1.7029465885979704,2.1967531620542657,10.04627057208078,0.7911147204219532,-0.018952624973738504,0.11874144803310446,-0.13769407300684294,-139.89717817495244,-19.25586697331832,0.38484251968503935,52.110749999999825,28.491727127522875,0,423,593,1081,521,495,0.7377289432510127,0.7637982133904418,-1.927468398504561,-1.5964542182344155,-8.28460926518758,,5,0,0.14657879390651835,8.498166849547561e-57,False,False,False,False,False
